TERM,DEFINITION ,ERROR SYMPTOMS,TROUBLESHOOTING,PRIMARY CATEGORY,SUB CATEGORY,CORE,CORE 1: DOMAIN,CORE 2: DOMAIN,Timestamp
2.4 GHz channels,"A frequency band used by wireless networks (802.11 standards). It offers a long range and better propagation through solid walls but is highly congested. In the US, it consists of 11 channels, but only channels 1, 6, and 11 are completely non-overlapping.","Intermittent wireless drops, extremely slow data throughput, high latency during peak times, or inability to discover the network due to heavy RF interference.","Log into the wireless access point/router; change the channel configuration from ""Auto"" to a fixed, non-overlapping channel (1, 6, or 11); use a Wi-Fi analyzer app to determine which of those three is the least congested.",Wireless Networks,802.11 wireless protocol,CORE 1,NETWORKING,,5/26/2026 13:25:40
3–2-1 backup rule,"An industry-standard data protection methodology. It mandates keeping at least three (3) total copies of data, stored on two (2) different types of physical media, with at least one (1) of those copies located safely off-site (such as cloud storage or a remote vault).","Complete data loss following a catastrophic event (e.g., local fire, severe ransomware infection, or total hardware failure) where local backup drives are destroyed or encrypted simultaneously with the primary system.","Audit the current backup plan. Configure a local automated backup routine to a separate physical drive or NAS device, and set up a secondary automated synchronization task that replicates that data to an off-site cloud service provider.",Data Retention and Operational Procedures,Backups / Recovery,CORE 2,,OPERATIONAL PROCEDURES,5/26/2026 13:28:55
3D printers: Installing,"The process of unboxing, physically assembling, leveling, and connecting a 3D printing device to a workstation or network. This includes installing specialized slicing software, loading physical print filament (PLA/ABS), and flashing the initial firmware updates.","System unrecognized by the host workstation via USB, firmware mismatch errors, initial test prints failing to adhere to the build plate, or axis motor grinding sounds during the initial calibration phase.",Ensure all physical shipping restraints are removed; download and install the vendor-specific driver/slicing utility; calibrate and manually or automatically level the print bed using a standard piece of paper as a gap gauge; update firmware to the latest revision.,Peripherals and Hardware,3D printers,CORE 1,HARDWARE,,5/26/2026 13:30:33
3D printers: Maintenance,"Preventative maintenance tasks required to ensure consistent 3D print quality and component longevity. This includes cleaning the heated print bed, clearing out plastic residue, lubricating the metal X/Y/Z axis rails, checking drive belt tension, and replacing worn extruder nozzles.","Extruder nozzle jams, plastic filament snapping mid-print, uneven layer lines (Z-banding), rough textures on completed prints, or loud squeaking noises during print-head movement.","Pre-heat the extruder nozzle to printing temperature and perform a ""cold pull"" or use a specialized acupuncture needle to clear internal filament clogs; apply a thin layer of lithium grease to the guide rails; tighten loose axis drive belts until they are taut.",Peripherals and Hardware,3D printers,CORE 1,HARDWARE,,5/26/2026 13:31:44
3D printers: Printing process,"The sequence where a 3D printer executes a compiled G-code file. The device heats the print bed and the extruder nozzle to specific temperatures, melts plastic filament, and deposits it layer-by-layer onto the build plate to create a physical object.","Print job fails mid-way due to thermal runaway errors, print model warps or detaches from the bed before completion, or the extruder skips clicks without depositing plastic.","Verify that the heated print bed temperature matches the filament specification (e.g., 60°C for PLA); apply a print bed adhesive (like glue stick or blue painter's tape) if the model detaches; check the ambient room temperature to prevent cooling drafts.",Peripherals and Hardware,3D printers,CORE 1,HARDWARE,,5/26/2026 13:33:14
5 GHz channels,"A high-frequency wireless band utilized by modern 802.11 standards. It offers significantly faster data transfer speeds and contains dozens of non-overlapping channels, making it highly resistant to interference, though it has a shorter effective range and struggles to pass through solid walls.","Rapid signal degradation when walking away from the wireless router, sudden drops in connection when moving behind a concrete or brick wall, or device failing to see the 5 GHz SSID while connecting fine to 2.4 GHz.","Relocate the wireless router away from physical obstructions and place it higher in the room; ensure the client device's network card settings support 5 GHz bands; configure a separate, clear SSID name specifically for the 5 GHz network to prevent client steering confusion.",Wireless Networks,802.11 wireless protocol,CORE 1,NETWORKING,,5/26/2026 13:34:00
"10-tape rotations, backup rotation schemes","A structured data retention rotation strategy that uses 10 designated physical tape media units across a two-week period. It balances comprehensive historical recovery checkpoints with minimized media wear and costs, frequently utilizing a modified grandfather-father-son methodology.","Inability to restore a clean backup file from a specific day last week because the tape media was accidentally overwritten too early, or a backup failure due to physically worn out or degraded tape media blocks.",Implement strict label management on physical tapes; audit the scheduling configuration within the backup software utility; replace degraded tape media cartridge units immediately upon any write-error logged by the system.,Data Retention and Operational Procedures,Backups / Recovery,CORE 2,,OPERATIONAL PROCEDURES,5/26/2026 13:42:28
"30-second trick (hard reset), motherboards","A motherboard troubleshooting procedure used to drain all residual electrical charge trapped inside system capacitors. This effectively forces a deep, clean hardware reset of the motherboard's power management logic circuits.","System completely non-responsive, power status LEDs illuminate on the motherboard but the computer fails to POST, or the cooling fans spin up continuously while the display remains completely black.",Completely shut down the device; disconnect the main physical AC power cord; remove the internal laptop/desktop battery pack; press and firmly hold down the physical system power button continuously for 30 full seconds; reconnect power and attempt to boot.,"Motherboards, RAM, and CPU Diagnostics",Motherboards,CORE 1,HARDWARE & NETWORK TROUBLESHOOTING,,5/26/2026 13:43:42
32-bit CPU,"An older processor architecture capable of handling binary data blocks that are up to 32 bits wide. This structural limitation constraints the maximum addressable system memory space to exactly 4 Gigabytes (GB) of physical RAM, regardless of how much is physically installed on the motherboard.","System reports ""3.2GB RAM usable"" despite having 8GB or 16GB physically installed in the motherboard slots, or modern 64-bit software applications fail to execute with an architecture incompatibility error.","To use more than 4GB of RAM, the physical 32-bit (x86) processor hardware must be upgraded to a modern 64-bit (x64) processor model, and a complete clean installation of a 64-bit operating system must be performed.","Motherboards, RAM, and CPU Diagnostics",CPU Architecture,CORE 1,HARDWARE,,5/26/2026 13:44:40
64-bit CPU,"The current industry-standard processor architecture capable of handling data blocks that are up to 64 bits wide. This removes the 4GB barrier, allowing the processor to theoretically address up to 16 Exabytes of physical system RAM and handle complex computations much faster.","Operating system fails to utilize 64-bit execution features because a legacy 32-bit operating system was installed over the 64-bit hardware, restricting system capabilities.","Verify processor compatibility inside UEFI/BIOS or Device Manager; back up all critical user data; wipe the drive and install a clean, native 64-bit version of the operating system to unlock full architectural performance and extended memory addressing.","Motherboards, RAM, and CPU Diagnostics",CPU Architecture,CORE 1,HARDWARE,,5/26/2026 13:45:32
